episode,frame,ep_reward,success,intrinsic_bonus,total_shaped_reward,visit_count,steps_in_episode
0,144,0.0,0,0.5,0.005,1,144
1,288,0.0,0,0.09090909090909091,0.0009090909090909091,0,144
2,432,0.0,0,0.16666666666666666,0.0016666666666666666,18,144
3,576,0.0,0,0.16666666666666666,0.0016666666666666666,4,144
4,720,0.0,0,0.03125,0.0003125,32,144
5,837,0.26874999999999993,1,0.2,0.27074999999999994,0,117
6,853,0.9,1,0.16666666666666666,0.9016666666666667,0,16
7,966,0.29374999999999996,1,0.07142857142857142,0.2944642857142857,0,113
8,992,0.8375,1,0.06666666666666667,0.8381666666666667,0,26
9,1136,0.0,0,0.16666666666666666,0.0016666666666666666,6,144
10,1280,0.0,0,0.03225806451612903,0.0003225806451612903,14,144
11,1424,0.0,0,0.09090909090909091,0.0009090909090909091,11,144
12,1568,0.0,0,0.011235955056179775,0.00011235955056179776,89,144
13,1635,0.58125,1,0.05555555555555555,0.5818055555555556,0,67
14,1663,0.825,1,0.02857142857142857,0.8252857142857143,0,28
15,1667,0.975,1,0.02564102564102564,0.9752564102564102,0,4
16,1783,0.2749999999999999,1,0.047619047619047616,0.2754761904761904,0,116
17,1809,0.8375,1,0.023809523809523808,0.8377380952380953,0,26
18,1953,0.0,0,0.03571428571428571,0.00035714285714285714,28,144
19,2032,0.5062499999999999,1,0.02127659574468085,0.5064627659574467,0,79
20,2176,0.0,0,0.023809523809523808,0.0002380952380952381,42,144
21,2300,0.22499999999999998,1,0.02,0.22519999999999998,0,124
22,2407,0.33124999999999993,1,0.045454545454545456,0.33170454545454536,0,107
23,2551,0.0,0,0.012048192771084338,0.00012048192771084338,83,144
24,2571,0.875,1,0.019230769230769232,0.8751923076923077,0,20
25,2596,0.84375,1,0.038461538461538464,0.8441346153846154,0,25
26,2740,0.0,0,0.006535947712418301,6.535947712418301e-05,63,144
27,2884,0.0,0,0.011627906976744186,0.00011627906976744187,40,144
28,3028,0.0,0,0.014492753623188406,0.00014492753623188405,69,144
29,3032,0.975,1,0.016666666666666666,0.9751666666666666,0,4
30,3176,0.0,0,0.009009009009009009,9.009009009009009e-05,123,144
31,3317,0.11875000000000002,1,0.034482758620689655,0.11909482758620692,0,141
32,3461,0.0,0,0.004081632653061225,4.081632653061225e-05,87,144
33,3605,0.0,0,0.021739130434782608,0.0002173913043478261,46,144
34,3626,0.86875,1,0.03333333333333333,0.8690833333333333,0,21
35,3770,0.0,0,0.007936507936507936,7.936507936507937e-05,126,144
36,3914,0.0,0,0.003278688524590164,3.278688524590164e-05,305,144
37,4058,0.0,0,0.020833333333333332,0.00020833333333333332,48,144
38,4202,0.0,0,0.0058823529411764705,5.882352941176471e-05,170,144
39,4214,0.925,1,0.03125,0.9253125000000001,0,12
40,4231,0.89375,1,0.02631578947368421,0.8940131578947369,0,17
41,4375,0.0,0,0.006369426751592357,6.369426751592357e-05,157,144
42,4383,0.95,1,0.015873015873015872,0.9501587301587301,0,8
43,4394,0.93125,1,0.02564102564102564,0.9315064102564102,0,11
44,4538,0.0,0,0.013888888888888888,0.0001388888888888889,27,144
45,4546,0.95,1,0.014925373134328358,0.9501492537313433,0,8
46,4570,0.85,1,0.014084507042253521,0.8501408450704225,0,24
47,4582,0.925,1,0.013888888888888888,0.925138888888889,0,12
48,4598,0.9,1,0.013157894736842105,0.9001315789473684,0,16
49,4717,0.25625,1,0.01282051282051282,0.2563782051282051,0,119
50,4861,0.0,0,0.01282051282051282,0.0001282051282051282,78,144
51,5005,0.0,0,0.00684931506849315,6.84931506849315e-05,166,144
52,5029,0.85,1,0.023809523809523808,0.8502380952380952,0,24
53,5059,0.8125,1,0.023255813953488372,0.8127325581395349,0,30
54,5090,0.80625,1,0.022222222222222223,0.8064722222222223,0,31
55,5104,0.9125,1,0.021739130434782608,0.9127173913043478,0,14
56,5134,0.8125,1,0.02127659574468085,0.8127127659574468,0,30
57,5196,0.6125,1,0.02040816326530612,0.6127040816326531,0,62
58,5340,0.0,0,0.00847457627118644,8.474576271186441e-05,118,144
59,5376,0.775,1,0.02,0.7752,0,36
60,5393,0.89375,1,0.019230769230769232,0.8939423076923078,0,17
61,5537,0.0,0,0.0018214936247723133,1.8214936247723133e-05,549,144
62,5561,0.85,1,0.01818181818181818,0.8501818181818181,0,24
63,5570,0.94375,1,0.0125,0.943875,0,9
64,5627,0.64375,1,0.017857142857142856,0.6439285714285715,0,57
65,5669,0.7375,1,0.017543859649122806,0.7376754385964913,0,42
66,5784,0.2812499999999999,1,0.012048192771084338,0.28137048192771075,0,115
67,5796,0.925,1,0.011494252873563218,0.9251149425287357,0,12
68,5838,0.7375,1,0.011235955056179775,0.7376123595505618,0,42
69,5850,0.925,1,0.01098901098901099,0.9251098901098902,0,12
70,5988,0.13749999999999996,1,0.010752688172043012,0.1376075268817204,0,138
71,6018,0.8125,1,0.010526315789473684,0.8126052631578947,0,30
72,6113,0.40625,1,0.01,0.40635,0,95
