episode,frame,ep_reward,success,intrinsic_bonus,total_shaped_reward,visit_count,steps_in_episode
0,100,0.0,0,0.3333333333333333,0.003333333333333333,0,100
1,200,0.0,0,0.125,0.00125,8,100
2,300,0.0,0,0.3333333333333333,0.003333333333333333,3,100
3,400,0.0,0,0.5,0.005,2,100
4,500,0.0,0,0.09090909090909091,0.0009090909090909091,11,100
5,600,0.0,0,0.2,0.002,5,100
6,700,0.0,0,0.2,0.002,5,100
7,800,0.0,0,0.2,0.002,0,100
8,900,0.0,0,0.125,0.00125,8,100
9,1000,0.0,0,0.07142857142857142,0.0007142857142857143,14,100
10,1100,0.0,0,0.5,0.005,2,100
11,1200,0.0,0,0.3333333333333333,0.003333333333333333,0,100
12,1300,0.0,0,0.5,0.005,10,100
13,1400,0.0,0,0.3333333333333333,0.003333333333333333,0,100
14,1500,0.0,0,0.25,0.0025,4,100
15,1600,0.0,0,1.0,0.01,0,100
16,1700,0.0,0,0.25,0.0025,4,100
17,1800,0.0,0,0.25,0.0025,4,100
18,1900,0.0,0,0.125,0.00125,8,100
19,2000,0.0,0,0.5,0.005,2,100
20,2100,0.0,0,0.25,0.0025,4,100
21,2200,0.0,0,0.038461538461538464,0.00038461538461538467,26,100
22,2300,0.0,0,0.07142857142857142,0.0007142857142857143,14,100
23,2400,0.0,0,0.5,0.005,2,100
24,2500,0.0,0,0.2,0.002,0,100
25,2600,0.0,0,0.07692307692307693,0.0007692307692307693,13,100
26,2700,0.0,0,0.1111111111111111,0.0011111111111111111,9,100
27,2800,0.0,0,0.3333333333333333,0.003333333333333333,3,100
28,2900,0.0,0,0.125,0.00125,0,100
29,3000,0.0,0,0.16666666666666666,0.0016666666666666666,0,100
30,3100,0.0,0,1.0,0.01,1,100
31,3200,0.0,0,0.25,0.0025,0,100
32,3300,0.0,0,0.25,0.0025,4,100
33,3400,0.0,0,0.3333333333333333,0.003333333333333333,3,100
34,3500,0.0,0,1.0,0.01,0,100
35,3600,0.0,0,0.2,0.002,5,100
36,3700,0.0,0,0.07692307692307693,0.0007692307692307693,13,100
37,3800,0.0,0,0.25,0.0025,4,100
38,3900,0.0,0,0.058823529411764705,0.0005882352941176471,17,100
39,4000,0.0,0,1.0,0.01,0,100
40,4100,0.0,0,0.09090909090909091,0.0009090909090909091,11,100
41,4200,0.0,0,0.14285714285714285,0.0014285714285714286,0,100
42,4300,0.0,0,0.5,0.005,2,100
43,4400,0.0,0,0.3333333333333333,0.003333333333333333,3,100
44,4500,0.0,0,0.06666666666666667,0.0006666666666666666,15,100
45,4600,0.0,0,1.0,0.01,1,100
46,4700,0.0,0,0.2,0.002,5,100
47,4800,0.0,0,0.25,0.0025,3,100
48,4900,0.0,0,0.16666666666666666,0.0016666666666666666,6,100
49,5000,0.0,0,0.1,0.001,10,100
50,5100,0.0,0,0.1,0.001,10,100
51,5200,0.0,0,1.0,0.01,0,100
52,5300,0.0,0,0.1,0.001,10,100
53,5400,0.0,0,0.5,0.005,2,100
54,5500,0.0,0,1.0,0.01,1,100
55,5600,0.0,0,0.125,0.00125,12,100
56,5700,0.0,0,1.0,0.01,1,100
57,5800,0.0,0,0.16666666666666666,0.0016666666666666666,6,100
58,5900,0.0,0,0.25,0.0025,0,100
59,6000,0.0,0,1.0,0.01,1,100
60,6100,0.0,0,0.25,0.0025,4,100
61,6145,0.595,1,0.3333333333333333,0.5983333333333333,0,45
62,6245,0.0,0,0.14285714285714285,0.0014285714285714286,4,100
63,6345,0.0,0,0.5,0.005,2,100
64,6445,0.0,0,0.08333333333333333,0.0008333333333333333,12,100
