episode,frame,ep_reward,success,intrinsic_bonus,total_shaped_reward,visit_count,steps_in_episode
0,144,0.0,0,0.44378500343167504,0.00443785003431675,15,144
1,288,0.0,0,0.6170338627200096,0.006170338627200096,6,144
2,432,0.0,0,0.5011872336272724,0.005011872336272724,1,144
3,576,0.0,0,0.3720410580113015,0.003720410580113015,16,144
4,620,0.725,1,0.7192230933248644,0.7321922309332486,0,44
5,694,0.5375000000000001,1,0.5577898253032461,0.5430778982530325,0,74
6,838,0.0,0,0.4530661222656876,0.0045306612226568765,14,144
7,853,0.90625,1,0.5172818579717866,0.9114228185797179,0,15
8,997,0.0,0,0.3535533905932738,0.003535533905932738,13,144
9,1109,0.29999999999999993,1,0.40709053153690444,0.30407090531536896,0,112
10,1253,0.0,0,0.3569369364716288,0.0035693693647162877,31,144
11,1359,0.3374999999999999,1,0.44378500343167504,0.34193785003431665,0,106
12,1503,0.0,0,0.5011872336272724,0.005011872336272724,11,144
13,1544,0.74375,1,0.37627727968301555,0.7475127727968301,0,41
14,1646,0.36249999999999993,1,0.3569369364716288,0.36606936936471624,0,102
15,1759,0.29374999999999996,1,0.34417521049278127,0.29719175210492776,0,113
16,1903,0.0,0,0.24897103951037328,0.0024897103951037327,103,144
17,1909,0.9625,1,0.4352752816480621,0.9668527528164806,0,6
18,2053,0.0,0,0.4201634287291895,0.004201634287291895,18,144
19,2180,0.20625000000000004,1,0.298912166216387,0.2092391216621639,0,127
20,2324,0.0,0,0.3412787518465366,0.003412787518465366,36,144
21,2414,0.4375,1,0.4201634287291895,0.4417016342872919,0,90
22,2558,0.0,0,0.37627727968301555,0.0037627727968301554,29,144
23,2702,0.0,0,0.23325824788420185,0.0023325824788420187,128,144
24,2846,0.0,0,0.2567172875710254,0.0025671728757102543,36,144
25,2882,0.775,1,0.3720410580113015,0.778720410580113,0,36
26,3026,0.0,0,0.3092494947109917,0.0030924949471099173,50,144
27,3170,0.0,0,0.2942689207862015,0.002942689207862015,59,144
28,3273,0.35624999999999996,1,0.2819988428128902,0.3590699884281289,0,103
29,3339,0.5875,1,0.3641502400922841,0.5911415024009229,0,66
30,3418,0.5062499999999999,1,0.2665973598888027,0.5089159735988878,0,79
31,3423,0.96875,1,0.36046543250433827,0.9723546543250434,0,5
