episode,frame,ep_reward,success,intrinsic_bonus,total_shaped_reward,visit_count,steps_in_episode
0,100,0.0,0,0.30151134457776363,0.0030151134457776364,11,100
1,200,0.0,0,0.5773502691896258,0.005773502691896259,0,100
2,300,0.0,0,0.21320071635561041,0.002132007163556104,22,100
3,400,0.0,0,1.0,0.01,1,100
4,500,0.0,0,0.5773502691896258,0.005773502691896259,0,100
5,600,0.0,0,0.2886751345948129,0.0028867513459481294,12,100
6,604,0.964,1,0.5773502691896258,0.9697735026918962,0,4
7,704,0.0,0,0.2672612419124244,0.002672612419124244,6,100
8,804,0.0,0,0.35355339059327373,0.0035355339059327372,8,100
9,904,0.0,0,0.7071067811865475,0.0070710678118654745,1,100
10,1004,0.0,0,1.0,0.01,1,100
11,1104,0.0,0,0.7071067811865475,0.0070710678118654745,1,100
12,1204,0.0,0,0.30151134457776363,0.0030151134457776364,11,100
13,1304,0.0,0,1.0,0.01,1,100
14,1404,0.0,0,0.3333333333333333,0.003333333333333333,7,100
15,1504,0.0,0,0.5773502691896258,0.005773502691896259,0,100
16,1604,0.0,0,0.5773502691896258,0.005773502691896259,3,100
17,1704,0.0,0,0.4082482904638631,0.004082482904638631,6,100
18,1804,0.0,0,0.3333333333333333,0.003333333333333333,9,100
19,1904,0.0,0,1.0,0.01,0,100
20,2004,0.0,0,0.5,0.005,4,100
21,2104,0.0,0,1.0,0.01,1,100
22,2204,0.0,0,0.3779644730092272,0.003779644730092272,7,100
23,2304,0.0,0,1.0,0.01,1,100
24,2404,0.0,0,1.0,0.01,0,100
25,2504,0.0,0,0.7071067811865475,0.0070710678118654745,2,100
26,2604,0.0,0,1.0,0.01,0,100
27,2704,0.0,0,1.0,0.01,1,100
28,2804,0.0,0,0.4082482904638631,0.004082482904638631,6,100
29,2904,0.0,0,0.5773502691896258,0.005773502691896259,6,100
30,3004,0.0,0,0.7071067811865475,0.0070710678118654745,2,100
31,3104,0.0,0,0.5773502691896258,0.005773502691896259,3,100
32,3202,0.118,1,0.5773502691896258,0.12377350269189626,0,98
33,3302,0.0,0,0.4082482904638631,0.004082482904638631,0,100
34,3402,0.0,0,0.4082482904638631,0.004082482904638631,6,100
35,3502,0.0,0,0.7071067811865475,0.0070710678118654745,0,100
36,3602,0.0,0,1.0,0.01,1,100
37,3702,0.0,0,0.4082482904638631,0.004082482904638631,4,100
38,3802,0.0,0,0.5773502691896258,0.005773502691896259,3,100
39,3902,0.0,0,0.30151134457776363,0.0030151134457776364,11,100
40,4002,0.0,0,0.4472135954999579,0.00447213595499958,0,100
41,4102,0.0,0,0.7071067811865475,0.0070710678118654745,1,100
42,4202,0.0,0,1.0,0.01,1,100
43,4302,0.0,0,0.5773502691896258,0.005773502691896259,3,100
44,4402,0.0,0,0.5773502691896258,0.005773502691896259,0,100
45,4502,0.0,0,1.0,0.01,0,100
46,4602,0.0,0,0.3779644730092272,0.003779644730092272,1,100
47,4702,0.0,0,0.7071067811865475,0.0070710678118654745,1,100
48,4802,0.0,0,0.5,0.005,4,100
49,4902,0.0,0,1.0,0.01,0,100
50,5002,0.0,0,1.0,0.01,0,100
51,5102,0.0,0,0.5773502691896258,0.005773502691896259,3,100
52,5202,0.0,0,1.0,0.01,0,100
