episode,frame,ep_reward,success,intrinsic_bonus,total_shaped_reward,visit_count,steps_in_episode
0,32,0.0,0,0.4530661222656876,0.0045306612226568765,4,32
1,64,0.0,0,0.7192230933248644,0.007192230933248645,3,32
2,96,0.0,0,0.8122523963562355,0.008122523963562354,2,32
3,128,0.0,0,0.3854221125344267,0.003854221125344267,24,32
4,130,0.1,1,0.6170338627200096,0.1061703386272001,0,2
5,162,0.0,0,0.3412787518465366,0.003412787518465366,32,32
6,194,0.0,0,0.5841906810678655,0.005841906810678655,6,32
7,223,0.1,1,0.5011872336272724,0.10501187233627272,0,29
8,245,0.1,1,1.0,0.11,0,22
9,277,0.0,0,0.6170338627200096,0.006170338627200096,10,32
10,309,0.0,0,0.5358867312681466,0.005358867312681466,2,32
11,311,0.1,1,0.4201634287291895,0.1042016342872919,0,2
12,343,0.0,0,0.2783700422667422,0.0027837004226674224,71,32
13,375,0.0,0,0.30563212211693486,0.0030563212211693488,79,32
14,407,0.0,0,0.3535533905932738,0.003535533905932738,32,32
15,439,0.0,0,0.2601255419316442,0.0026012554193164425,61,32
16,471,0.0,0,0.2871745887492588,0.002871745887492588,64,32
17,503,0.0,0,0.2858419678145972,0.002858419678145972,110,32
18,521,0.1,1,0.7192230933248644,0.10719223093324864,0,18
19,553,0.0,0,0.4745102806263551,0.004745102806263551,12,32
20,585,0.0,0,0.38073078774317576,0.0038073078774317577,25,32
21,617,0.0,0,0.22755980865863995,0.0022755980865863997,139,32
22,649,0.0,0,0.5172818579717866,0.005172818579717866,20,32
23,659,0.1,1,0.3384850429756255,0.10338485042975626,0,10
24,691,0.0,0,0.5358867312681466,0.005358867312681466,6,32
25,723,0.0,0,0.2228661544930473,0.002228661544930473,148,32
26,755,0.0,0,0.5172818579717866,0.005172818579717866,12,32
27,771,0.1,1,0.3282198502396035,0.10328219850239605,0,16
28,803,0.0,0,0.5358867312681466,0.005358867312681466,8,32
29,835,0.0,0,0.32133956175406575,0.0032133956175406575,40,32
30,867,0.0,0,0.6170338627200096,0.006170338627200096,5,32
31,899,0.0,0,0.2534944642288149,0.002534944642288149,97,32
32,931,0.0,0,0.7192230933248644,0.007192230933248645,3,32
33,963,0.0,0,0.31504358630292134,0.0031504358630292137,47,32
34,992,0.1,1,0.48705969722582854,0.10487059697225828,0,29
35,1024,0.0,0,0.7192230933248644,0.007192230933248645,0,32
36,1056,0.0,0,0.251188643150958,0.0025118864315095803,100,32
37,1061,0.1,1,0.2772044840128144,0.10277204484012815,0,5
38,1093,0.0,0,1.0,0.01,1,32
39,1122,0.1,1,0.26373898002853097,0.10263738980028532,0,29
40,1154,0.0,0,0.24279212330929373,0.0024279212330929373,112,32
41,1186,0.0,0,0.5358867312681466,0.005358867312681466,9,32
42,1218,0.0,0,0.5577898253032461,0.005577898253032461,7,32
43,1250,0.0,0,0.2534944642288149,0.002534944642288149,97,32
44,1282,0.0,0,0.8122523963562355,0.008122523963562354,7,32
45,1314,0.0,0,0.230592144209972,0.00230592144209972,133,32
46,1346,0.0,0,0.27383037488465917,0.0027383037488465916,75,32
47,1378,0.0,0,0.34417521049278127,0.0034417521049278127,35,32
48,1410,0.0,0,0.6170338627200096,0.006170338627200096,5,32
49,1421,0.1,1,0.24897103951037328,0.10248971039510374,0,11
50,1453,0.0,0,0.5172818579717866,0.005172818579717866,3,32
51,1461,0.1,1,0.24614151349474525,0.10246141513494746,0,8
52,1489,0.1,1,0.23781849487482357,0.10237818494874824,0,28
53,1521,0.0,0,0.4530661222656876,0.0045306612226568765,5,32
54,1553,0.0,0,0.40117532357973634,0.004011753235797363,21,32
55,1585,0.0,0,0.3641502400922841,0.003641502400922841,29,32
56,1598,0.1,1,0.23380773984485034,0.10233807739844851,0,13
57,1630,0.0,0,0.5577898253032461,0.005577898253032461,0,32
58,1662,0.0,0,0.44378500343167504,0.00443785003431675,7,32
59,1667,0.1,1,0.2290542358444555,0.10229054235844456,0,5
60,1699,0.0,0,0.44378500343167504,0.00443785003431675,4,32
61,1731,0.0,0,0.347181299898821,0.00347181299898821,33,32
62,1735,0.1,1,0.2242302201231555,0.10224230220123157,0,4
63,1767,0.0,0,0.24087440112253738,0.002408744011225374,115,32
64,1799,0.0,0,0.298912166216387,0.00298912166216387,56,32
65,1831,0.0,0,0.7192230933248644,0.007192230933248645,0,32
66,1863,0.0,0,0.3956154062402218,0.003956154062402218,22,32
67,1875,0.1,1,0.21897920458479228,0.10218979204584792,0,12
68,1907,0.0,0,0.5841906810678655,0.005841906810678655,0,32
69,1922,0.1,1,0.21614978940479496,0.10216149789404795,0,15
70,1929,0.1,1,0.21422261854072366,0.10214222618540725,0,7
71,1961,0.0,0,0.3535533905932738,0.003535533905932738,16,32
72,1965,0.1,1,0.21236775958283322,0.10212367759582834,0,4
73,1997,0.0,0,0.20919661506859952,0.002091966150685995,184,32
74,2029,0.0,0,0.2807664900503806,0.002807664900503806,99,32
75,2061,0.0,0,0.21734291906483147,0.0021734291906483146,162,32
76,2080,0.1,1,0.20135207715648873,0.10201352077156489,0,19
77,2112,0.0,0,0.3111294892118257,0.003111294892118257,49,32
78,2122,0.1,1,0.19909579143878564,0.10199095791438786,0,10
79,2154,0.0,0,0.6597539553864472,0.006597539553864472,4,32
80,2166,0.1,1,0.19773980778721637,0.10197739807787216,0,12
81,2198,0.0,0,0.21310133433584372,0.0021310133433584373,173,32
82,2230,0.0,0,0.20851923201563827,0.0020851923201563828,164,32
83,2262,0.0,0,0.4745102806263551,0.004745102806263551,12,32
84,2287,0.1,1,0.1917429778514668,0.10191742977851467,0,25
85,2319,0.0,0,0.4530661222656876,0.0045306612226568765,14,32
86,2344,0.1,1,0.19127776815464723,0.10191277768154648,0,25
87,2376,0.0,0,0.3569369364716288,0.0035693693647162877,31,32
88,2408,0.0,0,0.3170827751173751,0.003170827751173751,46,32
89,2438,0.1,1,0.18751077889277698,0.10187510778892778,0,30
90,2463,0.1,1,0.18604985196020532,0.10186049851960206,0,25
91,2495,0.0,0,0.24545555958911477,0.002454555595891148,108,32
92,2527,0.0,0,0.16937024589106403,0.0016937024589106404,372,32
93,2559,0.0,0,0.19081741026573443,0.0019081741026573443,250,32
94,2591,0.0,0,0.7192230933248644,0.007192230933248645,0,32
95,2623,0.0,0,0.7192230933248644,0.007192230933248645,3,32
96,2655,0.0,0,0.19827739103386627,0.0019827739103386627,220,32
97,2680,0.1,1,0.18138964326336607,0.10181389643263367,0,25
98,2712,0.0,0,0.230592144209972,0.00230592144209972,129,32
99,2744,0.0,0,0.6170338627200096,0.006170338627200096,5,32
100,2757,0.1,1,0.17976703201130037,0.10179767032011301,0,13
101,2761,0.1,1,0.1794148917296181,0.10179414891729618,0,4
102,2793,0.0,0,0.18793742643752942,0.0018793742643752943,234,32
103,2825,0.0,0,0.19365419661911723,0.0019365419661911724,174,32
104,2857,0.0,0,0.1770306607313545,0.001770306607313545,141,32
105,2889,0.0,0,0.2706273090414836,0.0027062730904148357,78,32
106,2900,0.1,1,0.17621169144640775,0.10176211691446409,0,11
107,2932,0.0,0,0.40117532357973634,0.004011753235797363,21,32
108,2950,0.1,1,0.4632516707503672,0.10463251670750368,0,18
109,2982,0.1,1,0.17477791650115004,0.1017477791650115,0,32
110,3014,0.0,0,0.3384850429756255,0.003384850429756255,37,32
111,3046,0.0,0,0.18729902171547244,0.0018729902171547245,266,32
112,3078,0.0,0,0.19013577692968855,0.0019013577692968855,253,32
113,3086,0.1,1,0.1707605043480283,0.1017076050434803,0,8
114,3118,0.0,0,0.3306602597747843,0.003306602597747843,40,32
115,3150,0.0,0,0.6170338627200096,0.006170338627200096,5,32
116,3182,0.0,0,0.2695950243632805,0.002695950243632805,125,32
117,3184,0.1,1,0.17033823412749668,0.10170338234127498,0,2
118,3196,0.1,1,0.16978217395516362,0.10169782173955164,0,12
119,3228,0.0,0,0.44378500343167504,0.00443785003431675,15,32
120,3260,0.0,0,0.189022754785975,0.00189022754785975,258,32
121,3292,0.0,0,0.18157388887115844,0.0018157388887115845,295,32
122,3324,0.0,0,0.17959058786472218,0.0017959058786472218,306,32
123,3334,0.1,1,0.1685591994768041,0.10168559199476805,0,10
124,3366,0.0,0,0.22153733325919792,0.002215373332591979,152,32
125,3377,0.1,1,0.16776471858681366,0.10167764718586814,0,11
126,3384,0.1,1,0.16724397544352887,0.1016724397544353,0,7
127,3416,0.0,0,0.6597539553864472,0.006597539553864472,4,32
128,3418,0.1,1,0.16711487929575575,0.10167114879295756,0,2
129,3450,0.0,0,0.17670109601866726,0.0017670109601866726,306,32
130,3482,0.0,0,0.18687859563740045,0.0018687859563740045,268,32
131,3514,0.0,0,0.1840455272483665,0.0018404552724836651,282,32
132,3546,0.0,0,0.21575833081022136,0.0021575833081022137,166,32
133,3568,0.1,1,0.1646201555042078,0.10164620155504209,0,22
134,3600,0.0,0,0.5841906810678655,0.005841906810678655,6,32
135,3602,0.1,1,0.16449959876314446,0.10164499598763145,0,2
136,3634,0.0,0,0.30563212211693486,0.0030563212211693488,52,32
137,3637,0.1,1,0.1642596280936442,0.10164259628093644,0,3
138,3669,0.0,0,0.298912166216387,0.00298912166216387,56,32
139,3701,0.0,0,0.17047848800266546,0.0017047848800266546,364,32
140,3733,0.0,0,0.16273588159683997,0.0016273588159683996,425,32
141,3765,0.0,0,0.21164500347722132,0.002116450034772213,176,32
142,3797,0.0,0,0.1620529043450244,0.001620529043450244,431,32
143,3829,0.0,0,0.1617160337005949,0.001617160337005949,434,32
144,3861,0.0,0,0.19464141034699986,0.0019464141034699987,234,32
145,3893,0.0,0,0.2149845328185859,0.002149845328185859,168,32
146,3925,0.0,0,0.2727444501893924,0.0027274445018939243,76,32
147,3957,0.0,0,0.1617160337005949,0.001617160337005949,584,32
148,3989,0.0,0,0.16909801881118935,0.0016909801881118936,374,32
149,4021,0.0,0,0.1605062679302183,0.001605062679302183,445,32
150,4053,0.0,0,0.15986266088120807,0.0015986266088120807,190,32
151,4085,0.0,0,0.4632516707503672,0.0046325167075036726,13,32
152,4117,0.0,0,0.42743031778825946,0.004274303177882595,6,32
153,4119,0.1,1,0.15933476611362166,0.10159334766113622,0,2
154,4124,0.1,1,0.1592300897811508,0.10159230089781152,0,5
155,4142,0.1,1,0.1579967476700373,0.10157996747670038,0,18
156,4155,0.1,1,0.15779517807893972,0.1015779517807894,0,13
157,4187,0.0,0,0.2885345571906213,0.0028853455719062135,63,32
158,4196,0.1,1,0.15759471812621015,0.1015759471812621,0,9
159,4228,0.0,0,0.2871745887492588,0.002871745887492588,57,32
160,4260,0.0,0,0.6170338627200096,0.006170338627200096,5,32
161,4292,0.0,0,1.0,0.01,0,32
162,4324,0.0,0,0.16673016497485335,0.0016673016497485336,392,32
163,4356,0.0,0,1.0,0.01,1,32
164,4360,0.1,1,0.15593412799794118,0.10155934127997941,0,4
165,4364,0.1,1,0.15574369324433449,0.10155743693244335,0,4
166,4366,0.1,1,0.15564885284531596,0.10155648852845317,0,2
167,4393,0.1,1,0.15443824044419416,0.10154438240444194,0,27
168,4411,0.1,1,0.15326740087268165,0.10153267400872683,0,18
169,4443,0.0,0,0.44378500343167504,0.00443785003431675,15,32
170,4475,0.0,0,0.20282008004191912,0.0020282008004191914,204,32
171,4484,0.1,1,0.15282718507247928,0.1015282718507248,0,9
172,4516,0.0,0,0.1527397969696364,0.0015273979696963642,223,32
173,4548,0.0,0,0.3903746871536587,0.003903746871536587,23,32
174,4580,0.0,0,0.16776471858681366,0.0016776471858681366,206,32
175,4590,0.1,1,0.15213407922357108,0.10152134079223572,0,10
176,4622,0.0,0,0.15153863481353852,0.0015153863481353852,539,32
177,4654,0.0,0,0.26281519119769936,0.0026281519119769935,86,32
178,4666,0.1,1,0.1509531594325367,0.10150953159432537,0,12
179,4685,0.1,1,0.15005257114642065,0.10150052571146422,0,19
180,4717,0.0,0,0.20372352531302257,0.0020372352531302256,201,32
181,4723,0.1,1,0.14981096168352642,0.10149810961683527,0,6
182,4755,0.0,0,0.6170338627200096,0.006170338627200096,5,32
183,4758,0.1,1,0.148939251697954,0.10148939251697954,0,3
184,4790,0.0,0,0.2592550634024553,0.0025925506340245532,90,32
185,4822,0.0,0,0.44378500343167504,0.00443785003431675,15,32
186,4842,0.1,1,0.148012854256489,0.1014801285425649,0,20
187,4874,0.0,0,0.13910548452523483,0.0013910548452523482,717,32
188,4906,0.0,0,0.1527397969696364,0.0015273979696963642,525,32
189,4938,0.0,0,0.1605062679302183,0.001605062679302183,445,32
190,4970,0.0,0,0.1589178388919357,0.001589178388919357,542,32
191,5002,0.0,0,0.16414020991751008,0.0016414020991751008,413,32
192,5010,0.1,1,0.1477851222541881,0.10147785122254188,0,8
193,5042,0.0,0,0.2261067339049479,0.002261067339049479,142,32
194,5059,0.1,1,0.14696289573681698,0.10146962895736818,0,17
195,5091,0.0,0,0.1621658726062143,0.001621658726062143,430,32
196,5123,0.0,0,0.26562966360962836,0.0026562966360962835,85,32
197,5133,0.1,1,0.14523541162947803,0.10145235411629479,0,10
198,5165,0.0,0,0.24897103951037328,0.0024897103951037327,103,32
199,5169,0.1,1,0.14502558403413518,0.10145025584034136,0,4
200,5199,0.1,1,0.14467876948564426,0.10144678769485645,0,30
201,5202,0.1,1,0.1445410456588905,0.1014454104565889,0,3
202,5210,0.1,1,0.14440388814944058,0.1014440388814944,0,8
203,5242,0.0,0,0.22067024833400598,0.00220670248334006,154,32
204,5251,0.1,1,0.14406344516658323,0.10144063445166583,0,9
205,5283,0.0,0,0.3535533905932738,0.003535533905932738,32,32
206,5290,0.1,1,0.1438608397804143,0.10143860839780415,0,7
207,5322,0.0,0,0.15641466844124496,0.0015641466844124497,485,32
208,5354,0.0,0,0.14786086419744646,0.0014786086419744647,490,32
209,5386,0.0,0,0.5841906810678655,0.005841906810678655,6,32
210,5418,0.0,0,0.19720848397439247,0.001972084839743925,224,32
211,5450,0.0,0,0.1546218407107842,0.001546218407107842,504,32
212,5464,0.1,1,0.14299691742299028,0.1014299691742299,0,14
213,5496,0.0,0,0.15398333802557226,0.0015398333802557227,329,32
214,5501,0.1,1,0.142605678515761,0.10142605678515762,0,5
215,5533,0.0,0,0.4352752816480621,0.0043527528164806215,16,32
216,5565,0.0,0,0.24825042359292196,0.0024825042359292197,104,32
217,5597,0.0,0,0.1567060950284942,0.001567060950284942,672,32
218,5629,0.0,0,0.5841906810678655,0.005841906810678655,9,32
219,5661,0.0,0,0.14616013188352134,0.0014616013188352133,608,32
220,5679,0.1,1,0.1413966329175306,0.1014139663291753,0,18
221,5711,0.0,0,0.19316864235990855,0.0019316864235990854,491,32
222,5743,0.0,0,0.1409006442541543,0.001409006442541543,495,32
223,5750,0.1,1,0.14065545689208583,0.10140655456892086,0,7
224,5754,0.1,1,0.14053355406445253,0.10140533554064453,0,4
225,5786,0.0,0,0.34417521049278127,0.0034417521049278127,35,32
226,5801,0.1,1,0.1398711682471658,0.10139871168247166,0,15
227,5833,0.0,0,0.1537131647844854,0.0015371316478448541,514,32
228,5865,0.0,0,0.1388735126340587,0.001388735126340587,721,32
229,5880,0.1,1,0.1383008301325431,0.10138300830132543,0,15
230,5886,0.1,1,0.13801829424496456,0.10138018294244965,0,6
231,5918,0.0,0,0.18175894820295357,0.0018175894820295357,294,32
232,5950,0.0,0,0.23606329597995135,0.0023606329597995134,123,32
233,5982,0.0,0,0.13724028807156124,0.0013724028807156124,520,32
234,5991,0.1,1,0.13691261370292285,0.10136912613702924,0,9
235,6023,0.0,0,0.2871745887492588,0.002871745887492588,64,32
236,6055,0.0,0,0.3170827751173751,0.003170827751173751,18,32
237,6066,0.1,1,0.13637393408444526,0.10136373934084446,0,11
238,6077,0.1,1,0.13600226831801698,0.10136002268318017,0,11
239,6109,0.0,0,0.40709053153690444,0.004070905315369045,20,32
240,6141,0.0,0,0.48705969722582854,0.004870596972258286,22,32
241,6160,0.1,1,0.1350151320529234,0.10135015132052924,0,19
242,6192,0.0,0,0.32133956175406575,0.0032133956175406575,90,32
243,6224,0.0,0,0.24410810226394986,0.0024410810226394987,110,32
244,6234,0.1,1,0.13435729012216413,0.10134357290122165,0,10
245,6266,0.0,0,0.14957102902554534,0.0014957102902554535,563,32
246,6297,0.1,1,0.1341079408854154,0.10134107940885416,0,31
247,6329,0.0,0,0.2832549833338056,0.0028325498333380563,67,32
248,6361,0.0,0,0.14870529479868186,0.0014870529479868186,366,32
249,6393,0.0,0,0.1472595916989856,0.001472595916989856,593,32
250,6425,0.0,0,0.1770306607313545,0.001770306607313545,321,32
251,6457,0.0,0,0.1465956395852039,0.0014659563958520391,602,32
252,6489,0.0,0,0.128913502665658,0.0012891350266565798,924,32
253,6521,0.0,0,0.18625554576171982,0.0018625554576171982,271,32
254,6553,0.0,0,0.1285805343619645,0.0012858053436196452,381,32
255,6585,0.0,0,0.26467700653516885,0.0026467700653516886,84,32
256,6592,0.1,1,0.1325581311280945,0.10132558131128096,0,7
257,6600,0.1,1,0.13236979342017577,0.10132369793420176,0,8
258,6632,0.0,0,0.303890580763577,0.00303890580763577,53,32
259,6664,0.0,0,0.24753875953635449,0.002475387595363545,49,32
260,6696,0.0,0,0.13813100830929548,0.0013813100830929548,734,32
261,6728,0.0,0,0.1460880904006607,0.001460880904006607,609,32
262,6760,0.0,0,0.13594953040595623,0.0013594953040595623,610,32
263,6792,0.0,0,0.16559861042956964,0.0016559861042956963,401,32
264,6824,0.0,0,0.14530564719338962,0.0014530564719338961,620,32
265,6848,0.1,1,0.13199656781483537,0.10131996567814835,0,24
266,6880,0.0,0,0.38073078774317576,0.0038073078774317577,25,32
267,6912,0.0,0,0.1446098365242375,0.001446098365242375,630,32
268,6944,0.0,0,0.6597539553864472,0.006597539553864472,4,32
